V4_ID,v3_ID,Gene_symbol,full_name,v4_source,v3_source,Chromosome,Start,End,
Zm00001d025401,GRMZM2G052100,aasr5,abscisic acid stress ripening5,Gene model association inferred from similarity with B73 RefGen_v3 gene models,from Virlouvet et al 2011,Chr10,"117,126,777","117,127,673",
Zm00001d016760,GRMZM2G057841,aasr6,abscisic acid stress ripening6,Gene model association inferred from similarity with B73 RefGen_v3 gene models,from Virlouvet et al 2011,Chr5,"175,170,002","175,170,821",
Zm00001d040786,GRMZM2G014797,aasr7,abscisic acid stress ripening7,Gene model association inferred from similarity with B73 RefGen_v3 gene models,from Virlouvet et al 2011,Chr3,"65,871,460","65,871,780",
Zm00001d040785,GRMZM2G314075,aasr8,abscisic acid stress ripening8,Gene model association inferred from similarity with B73 RefGen_v3 gene models,from Virlouvet et al 2011,Chr3,"65,868,063","65,868,371",
Zm00001d040787,GRMZM2G383699,aasr9,abscisic acid stress ripening9,Gene model association inferred from similarity with B73 RefGen_v3 gene models,from Virlouvet et al 2011,Chr3,"65,889,207","65,889,515",
Zm00001d034925,GRMZM2G387394,aat1,anthocyanin acyltransferase1,,,Chr1,"305,698,918","305,700,369",
Zm00001d051915,GRMZM2G157369,abc1,ABC(yeast) homolog1,Gene model association inferred from similarity with B73 RefGen_v3 gene models,,Chr4,"174,610,009","174,614,912",
Zm00001d027999,GRMZM2G097283,abc4,aberrant chloroplast development4,,,Chr1,"19,906,136","19,909,038",
Zm00001d007597,GRMZM2G105570,abcf1,ABC family1,Gene model association inferred from similarity with B73 RefGen_v3 gene models,,Chr2,"235,972,116","235,976,132",
Zm00001d002871,GRMZM2G177812,abcg11,ABC transporter G family member 11,Gene model association inferred from similarity with B73 RefGen_v3 gene models,"Belcher et al., 2015",Chr2,"25,171,106","25,176,433",
Zm00001d017762,GRMZM2G179147,abh1,abscisic acid 8'-hydroxylase1,Gene model association inferred from similarity with B73 RefGen_v3 gene models,aligns to sequence DR806072,Chr5,"206,138,068","206,140,902",
Zm00001d051554,GRMZM2G126505,abh2,abscisic acid 8'-hydroxylase2,Gene model association inferred from similarity with B73 RefGen_v3 gene models,aligns to sequence CD433445,Chr4,"162,654,597","162,657,413",
Zm00001d050021,GRMZM2G105954,abh3,abscisic acid 8'-hydroxylase3,Gene model association inferred from similarity with B73 RefGen_v3 gene models,aligns to sequence EU964577,Chr4,"60,281,640","60,287,213",
Zm00001d020717,GRMZM2G065928,abh4,abscisic acid 8'-hydroxylase4,,aligns to sequence EC904849,Chr7,"129,916,943","129,919,846",
Zm00001d005889,GRMZM2G002142,abh5,abscisic acid 8'-hydroxylase5,Gene model association inferred from similarity with B73 RefGen_v3 gene models,aligns to sequence CD941324,Chr2,"191,792,061","191,795,245",
Zm00001d026694,AC193767.3_FG003,abi10,ABI3-VP1-transcription factor 10,Gene model association inferred from similarity with B73 RefGen_v3 gene models,"assigned by the Grassius project, (Yilmaz et al 2009)",Chr10,"150,074,342","150,075,529",
Zm00001d030908,GRMZM2G065478,abi11,ABI3-VP1-transcription factor 11,Gene model association inferred from similarity with B73 RefGen_v3 gene models,"assigned by the Grassius project, (Yilmaz et al 2009)",Chr1,"166,746,593","166,757,849",
Zm00001d002562,GRMZM2G102059,abi12,ABI3-VP1-transcription factor 12,Gene model association inferred from similarity with B73 RefGen_v3 gene models,"assigned by the Grassius project, (Yilmaz et al 2009)",Chr2,"15,448,580","15,449,809",
,GRMZM2G018336,abi13,ABI3-VP1-transcription factor 33,,"assigned by the Grassius project, (Yilmaz et al 2009)",Chr5,"28,659,785","28,661,138",
Zm00001d049369,GRMZM2G106673,abi14,ABI3-VP1-transcription factor 14,Gene model association inferred from similarity with B73 RefGen_v3 gene models,"assigned by the Grassius project, (Yilmaz et al 2009)",Chr4,"28,013,684","28,016,851",
Zm00001d044676,GRMZM2G361376,abi15,ABI3-VP1-transcription factor 15,Gene model association inferred from similarity with B73 RefGen_v3 gene models,"assigned by the Grassius project, (Yilmaz et al 2009)",Chr3,"234,644,734","234,648,687",
Zm00001d017618,GRMZM2G024948,abi16,ABI3-VP1-transcription factor 16,Gene model association inferred from similarity with B73 RefGen_v3 gene models,"assigned by the Grassius project, (Yilmaz et al 2009)",Chr5,"201,875,376","201,876,644",
Zm00001d003601,GRMZM2G017187,abi17,ABI3-VP1-transcription factor 17,Gene model association inferred from similarity with B73 RefGen_v3 gene models,"assigned by the Grassius project, (Yilmaz et al 2009)",Chr2,"49,476,573","49,482,029",
Zm00001d013723,GRMZM2G019956,abi18,ABI3-VP1-transcription factor 18,Gene model association inferred from similarity with B73 RefGen_v3 gene models,"assigned by the Grassius project, (Yilmaz et al 2009)",Chr5,"18,591,711","18,594,476",
Zm00001d011712,GRMZM2G035701,abi19,ABI3-VP1-transcription factor 19,Gene model association inferred from similarity with B73 RefGen_v3 gene models,"assigned by the Grassius project, (Yilmaz et al 2009)",Chr8,"159,488,658","159,493,031",
Zm00001d026005,GRMZM2G018485,abi2,ABI3-VP1-transcription factor 2,Gene model association inferred from similarity with B73 RefGen_v3 gene models,"assigned by the Grassius project, (Yilmaz et al 2009)",Chr10,"135,849,250","135,850,464",
Zm00001d011745,GRMZM2G313737,abi20,ABI3-VP1-transcription factor 20,Gene model association inferred from similarity with B73 RefGen_v3 gene models,"assigned by the Grassius project, (Yilmaz et al 2009)",Chr8,"160,627,041","160,632,198",
Zm00001d025233,GRMZM2G126194,abi21,ABI3-VP1-transcription factor 21,Gene model association inferred from similarity with B73 RefGen_v3 gene models,"assigned by the Grassius project, (Yilmaz et al 2009)",Chr10,"110,237,211","110,238,274",
Zm00001d021790,GRMZM2G008356,abi22,ABI3-VP1-transcription factor 22,Gene model association inferred from similarity with B73 RefGen_v3 gene models,"assigned by the Grassius project, (Yilmaz et al 2009)",Chr7,"163,070,121","163,078,254",
Zm00001d024545,GRMZM2G180168,abi23,ABI3-VP1-transcription factor 23,Gene model association inferred from similarity with B73 RefGen_v3 gene models,"assigned by the Grassius project, (Yilmaz et al 2009)",Chr10,"77,547,497","77,548,246",
Zm00001d033314,GRMZM2G088413,abi24,ABI3-VP1-transcription factor 24,Gene model association inferred from similarity with B73 RefGen_v3 gene models,"assigned by the Grassius project, (Yilmaz et al 2009)",Chr1,"258,696,000","258,705,544",
Zm00001d033324,GRMZM2G344521,abi25,ABI3-VP1-transcription factor 25,Gene model association inferred from similarity with B73 RefGen_v3 gene models,"assigned by the Grassius project, (Yilmaz et al 2009)",Chr1,"259,037,229","259,041,582",
Zm00001d024354,GRMZM2G423393,abi26,ABI3-VP1-transcription factor 26,Gene model association inferred from similarity with B73 RefGen_v3 gene models,"assigned by the Grassius project, (Yilmaz et al 2009)",Chr10,"66,471,477","66,472,334",
Zm00001d031225,GRMZM2G123461,abi27,ABI3-VP1-transcription factor 27,Gene model association inferred from similarity with B73 RefGen_v3 gene models,"assigned by the Grassius project, (Yilmaz et al 2009)",Chr1,"182,664,294","182,665,524",
Zm00001d004358,GRMZM2G109879,abi28,ABI3-VP1-transcription factor 28,Gene model association inferred from similarity with B73 RefGen_v3 gene models,"assigned by the Grassius project, (Yilmaz et al 2009)",Chr2,"106,081,084","106,087,544",
Zm00001d036079,GRMZM2G084173,abi29,ABI3-VP1-transcription factor 29,Gene model association inferred from similarity with B73 RefGen_v3 gene models,"assigned by the Grassius project, (Yilmaz et al 2009)",Chr6,"70,988,040","70,992,940",
Zm00001d001838,GRMZM2G149940,abi3,ABI3-VP1-transcription factor 3,Gene model association inferred from similarity with B73 RefGen_v3 gene models,"assigned by the Grassius project, (Yilmaz et al 2009)",Chr2,"1,675,459","1,681,671",
Zm00001d033314,GRMZM2G088427,abi30,ABI3-VP1-transcription factor 30,Gene model association inferred from similarity with B73 RefGen_v3 gene models,"assigned by the Grassius project, (Yilmaz et al 2009)",Chr1,"258,696,000","258,705,544",
Zm00001d042460,GRMZM2G177244,abi31,ABI3-VP1-transcription factor 31,Gene model association inferred from similarity with B73 RefGen_v3 gene models,"assigned by the Grassius project, (Yilmaz et al 2009)",Chr3,"168,475,311","168,480,286",
Zm00001d022440,GRMZM2G158162,abi32,ABI3-VP1-transcription factor 32,Gene model association inferred from similarity with B73 RefGen_v3 gene models,"assigned by the Grassius project, (Yilmaz et al 2009)",Chr7,"177,716,517","177,723,636",
Zm00001d011639,GRMZM2G065538,abi33,ABI3-VP1-transcription factor 33,Gene model association inferred from similarity with B73 RefGen_v3 gene models,"assigned by the Grassius project, (Yilmaz et al 2009)",Chr8,"157,135,997","157,137,214",
Zm00001d029749,GRMZM2G125095,abi34,ABI3-VP1-transcription factor 34,Gene model association inferred from similarity with B73 RefGen_v3 gene models,"assigned by the Grassius project, (Yilmaz et al 2009)",Chr1,"85,320,646","85,321,467",
Zm00001d017112,GRMZM5G834874,abi35,ABI3-VP1-transcription factor 35,Gene model association inferred from similarity with B73 RefGen_v3 gene models,"assigned by the Grassius project, (Yilmaz et al 2009)",Chr5,"185,773,130","185,777,679",
Zm00001d049094,GRMZM2G001048,abi36,ABI3-VP1-transcription factor 36,Gene model association inferred from similarity with B73 RefGen_v3 gene models,"assigned by the Grassius project, (Yilmaz et al 2009)",Chr4,"15,846,668","15,849,827",
Zm00001d035903,GRMZM2G027253,abi37,ABI3-VP1-transcription factor 37,Gene model association inferred from similarity with B73 RefGen_v3 gene models,"assigned by the Grassius project, (Yilmaz et al 2009)",Chr6,"59,081,485","59,082,159",
Zm00001d047359,GRMZM2G142999,abi38,ABI3-VP1-transcription factor 38,Gene model association inferred from similarity with B73 RefGen_v3 gene models,"assigned by the Grassius project, (Yilmaz et al 2009)",Chr9,"127,613,899","127,614,732",
Zm00001d007173,GRMZM2G172621,abi39,ABI3-VP1-transcription factor 39,Gene model association inferred from similarity with B73 RefGen_v3 gene models,"assigned by the Grassius project, (Yilmaz et al 2009)",Chr2,"223,808,167","223,823,179",
Zm00001d033313,GRMZM2G098063,abi4,ABI3-VP1-transcription factor 4,Gene model association inferred from similarity with B73 RefGen_v3 gene models,"assigned by the Grassius project, (Yilmaz et al 2009)",Chr1,"258,663,739","258,665,853",
Zm00001d052591,GRMZM2G328742,abi40,ABI3-VP1-transcription factor 40,Gene model association inferred from similarity with B73 RefGen_v3 gene models,"assigned by the Grassius project, (Yilmaz et al 2009)",Chr4,"193,980,224","193,982,206",
Zm00001d023446,GRMZM5G805685,abi41,ABI3-VP1-transcription factor 41,Gene model association inferred from similarity with B73 RefGen_v3 gene models,"assigned by the Grassius project, (Yilmaz et al 2009)",Chr10,"5,747,841","5,749,899",
Zm00001d010077,GRMZM2G098443,abi42,ABI3-VP1-transcription factor 42,Gene model association inferred from similarity with B73 RefGen_v3 gene models,"assigned by the Grassius project, (Yilmaz et al 2009)",Chr8,"98,485,716","98,486,495",
Zm00001d048244,GRMZM2G028794,abi43,ABI3-VP1-transcription factor 43,Gene model association inferred from similarity with B73 RefGen_v3 gene models,"assigned by the Grassius project, (Yilmaz et al 2009)",Chr9,"153,119,353","153,121,492",
Zm00001d024103,GRMZM2G405170,abi44,ABI3-VP1-transcription factor 44,Gene model association inferred from similarity with B73 RefGen_v3 gene models,"assigned by the Grassius project, (Yilmaz et al 2009)",Chr10,"45,381,410","45,382,084",
Zm00001d038504,GRMZM2G174610,abi45,ABI3-VP1-transcription factor 45,Gene model association inferred from similarity with B73 RefGen_v3 gene models,"assigned by the Grassius project, (Yilmaz et al 2009)",Chr6,"158,797,382","158,802,161",
Zm00001d030907,GRMZM2G065496,abi46,ABI3-VP1-transcription factor 46,Gene model association inferred from similarity with B73 RefGen_v3 gene models,"assigned by the Grassius project, (Yilmaz et al 2009)",Chr1,"166,741,910","166,744,810",
Zm00001d052750,GRMZM2G125596,abi47,ABI3-VP1-transcription factor 47,Gene model association inferred from similarity with B73 RefGen_v3 gene models,"assigned by the Grassius project, (Yilmaz et al 2009)",Chr4,"199,667,552","199,671,247",
Zm00001d044355,GRMZM2G111123,abi48,ABI3-VP1-transcription factor 48,Gene model association inferred from similarity with B73 RefGen_v3 gene models,"assigned by the Grassius project, (Yilmaz et al 2009)",Chr3,"225,696,574","225,699,290",
Zm00001d034965,GRMZM2G405699,abi49,ABI3-VP1-transcription factor 49,Gene model association inferred from similarity with B73 RefGen_v3 gene models,"assigned by the Grassius project, (Yilmaz et al 2009)",Chr6,"290,046","293,456",
Zm00001d013722,GRMZM2G320754,abi5,ABI3-VP1-transcription factor 5,Gene model association inferred from similarity with B73 RefGen_v3 gene models,"assigned by the Grassius project, (Yilmaz et al 2009)",Chr5,"18,543,126","18,544,969",
Zm00001d035922,GRMZM2G102938,abi50,ABI3-VP1-transcription factor 50,Gene model association inferred from similarity with B73 RefGen_v3 gene models,"assigned by the Grassius project, (Yilmaz et al 2009)",Chr6,"60,326,794","60,331,273",
Zm00001d024321,GRMZM2G173321,abi51,ABI3-VP1-transcription factor 51,Gene model association inferred from similarity with B73 RefGen_v3 gene models,"assigned by the Grassius project, (Yilmaz et al 2009)",Chr10,"64,378,201","64,379,576",
,GRMZM2G160224,abi6,ABI3-VP1-transcription factor 6,,"assigned by the Grassius project, (Yilmaz et al 2009)",Chr1,"25,616,688","25,619,269",
Zm00001d027939,GRMZM2G109480,abi7,ABI3-VP1-transcription factor 7,Gene model association inferred from similarity with B73 RefGen_v3 gene models,"assigned by the Grassius project, (Yilmaz et al 2009)",Chr1,"18,004,874","18,006,730",
Zm00001d027409,GRMZM2G082227,abi8,ABI3-VP1-transcription factor 8,Gene model association inferred from similarity with B73 RefGen_v3 gene models,"assigned by the Grassius project, (Yilmaz et al 2009)",Chr1,"4,661,492","4,662,475",
Zm00001d030908,GRMZM2G522066,abi9,ABI3-VP1-transcription factor 9,Gene model association inferred from similarity with B73 RefGen_v3 gene models,"assigned by the Grassius project, (Yilmaz et al 2009)",Chr1,"166,746,593","166,757,849",
Zm00001d044520,GRMZM5G832362,abil1,abelson interactor1-like protein1,Gene model association inferred from similarity with B73 RefGen_v3 gene models,"Forestan et al, 2016",Chr3,"230,787,798","230,789,802",
Zm00001d039498,GRMZM2G132116,abk1,aurora b kinase1,Gene model association inferred from similarity with B73 RefGen_v3 gene models,"Zheng et al., 2016",Chr3,"6,001,073","6,005,346",
Zm00001d041711,GRMZM2G116204,abp1,auxin binding protein1,Gene model association inferred from similarity with B73 RefGen_v3 gene models,Classical Gene,Chr3,"134,550,012","134,554,530",
Zm00001d023904,GRMZM2G064371,abp4,auxin binding protein homolog4,Gene model association inferred from similarity with B73 RefGen_v3 gene models,Classical Gene,Chr10,"27,313,349","27,316,275",
Zm00001d023908,GRMZM2G078508,abp5,auxin binding protein homolog5,,,Chr10,"27,502,136","27,505,505",
Zm00001d002982,GRMZM2G035688,abph1,aberrant phyllotaxy1,Gene model association inferred from similarity with B73 RefGen_v3 gene models,,Chr2,"28,866,474","28,867,724",
Zm00001d042779,,abre1,ABA-responsive cis-element binding protein1,,,Chr3,"179,446,822","179,448,624",
Zm00001d028744,AC212219.3_FG005,AC212219.3_FG005,,,,Chr1,"45,107,095","45,112,661",
Zm00001d024518,GRMZM2G079908,acb1,Acyl-CoA-binding protein1,Gene model association inferred from similarity with B73 RefGen_v3 gene models,,Chr10,"75,760,691","75,762,808",
Zm00001d024998,AC197672.3_FG002,acc1,acetyl-coenzyme A carboxylase1,Gene model association inferred from similarity with B73 RefGen_v3 gene models,chr10 gene homologous to U58598,Chr10,"98,541,954","98,563,436",
Zm00001d004125,GRMZM5G858094,acc2,acetyl-CoA carboxylase2,Gene model association inferred from similarity with B73 RefGen_v3 gene models,chr 2 gene with homology to AF359519,Chr2,"84,495,887","84,510,274",
Zm00001d036955,GRMZM2G164883,acco1,1-aminocyclopropane-1-carboxylate oxidase1,Gene model association inferred from similarity with B73 RefGen_v3 gene models,"Yamauchi et al., 2016",Chr6,"107,285,582","107,286,760",
Zm00001d024853,GRMZM2G166639,acco15,1-aminocyclopropane-1-carboxylate oxidase15,Gene model association inferred from similarity with B73 RefGen_v3 gene models,"Yamauchi et al., 2016",Chr10,"90,664,003","90,665,073",
Zm00001d020686,GRMZM2G007249,acco2,1-aminocyclopropane-1-carboxylate oxidase2,Gene model association inferred from similarity with B73 RefGen_v3 gene models,"Yamauchi et al., 2016",Chr7,"128,315,057","128,316,692",
Zm00001d052136,GRMZM2G126732,acco20,1-aminocyclopropane-1-carboxylate oxidase20,Gene model association inferred from similarity with B73 RefGen_v3 gene models,,Chr4,"180,604,677","180,607,029",
Zm00001d024852,GRMZM2G166616,acco3,1-aminocyclopropane-1-carboxylate oxidase3,Gene model association inferred from similarity with B73 RefGen_v3 gene models,"Yamauchi et al., 2016",Chr10,"90,656,251","90,657,509",
Zm00001d024843,GRMZM2G072529,acco31,1-aminocyclopropane-1-carboxylate oxidase15,Gene model association inferred from similarity with B73 RefGen_v3 gene models,"Yamauchi et al., 2016",Chr10,"90,456,450","90,457,394",
Zm00001d018211,GRMZM2G052422,acco35,1-aminocyclopropane-1-carboxylate oxidase35,Gene model association inferred from similarity with B73 RefGen_v3 gene models,from BT033380,Chr5,"216,633,702","216,636,170",
Zm00001d024851,GRMZM2G332423,acco4,1-aminocyclopropane-1-carboxylate oxidase4,Gene model association inferred from similarity with B73 RefGen_v3 gene models,"Yamauchi et al., 2016",Chr10,"90,634,003","90,634,950",
Zm00001d042948,GRMZM2G123977,acd6,accelerated cell death ortholog6,,"Zhang et al., 2019",Chr3,"184,682,796","184,686,562",
Zm00001d021961,GRMZM6G953609,ache1,acetylcholinesterase1,Gene model association inferred from similarity with B73 RefGen_v3 gene models,not located to chr in v3 = Zm00001d021961 in v4,Chr7,"167,201,658","167,205,003",
Zm00001d039266,GRMZM2G175065,acm1,accomplice1,Gene model association inferred from similarity with B73 RefGen_v3 gene models,,Chr3,"826,815","835,054",
Zm00001d049409,GRMZM2G020801,aco1,aconitase1,Gene model association inferred from similarity with B73 RefGen_v3 gene models,,Chr4,"29,640,856","29,648,406",
Zm00001d032214,GRMZM2G127429,aco10,aconitase10,,,Chr1,"217,341,050","217,343,352",
Zm00001d035277,GRMZM2G311024,aco11,aconitase11,,,Chr6,"18,983,813","18,992,571",
Zm00001d027558,GRMZM2G176397,aco12,aconitase12,,,Chr1,"8,152,458","8,164,250",
Zm00001d024952,GRMZM5G858454,aco2,aconitase2,Gene model association inferred from similarity with B73 RefGen_v3 gene models,,Chr10,"96,586,361","96,592,679",
Zm00001d048358,GRMZM2G009808,aco3,aconitase3,Gene model association inferred from similarity with B73 RefGen_v3 gene models,from: AF457945,Chr9,"154,915,042","154,923,673",
Zm00001d006476,GRMZM2G171707,aco5,aconitase5,Gene model association inferred from similarity with B73 RefGen_v3 gene models,from: CO520918,Chr2,"209,512,508","209,518,574",
Zm00001d015497,GRMZM2G364988,aco6,aconitase6,,,Chr5,"93,775,604","93,780,255",
Zm00001d040769,GRMZM2G036131,aco7,aconitase7,,low confidence model,Chr3,"64,639,554","64,644,932",
Zm00001d004564,GRMZM2G467338,aco8,aconitase8,,,Chr2,"118,175,342","118,183,006",
Zm00001d020428,GRMZM2G325666,aco9,aconitase9,,low confidence gene model,Chr7,"113,324,754","113,327,914",
Zm00001d046593,AC211394.4_FG004,acp1,acid phosphatase1,Gene model association inferred from similarity with B73 RefGen_v3 gene models,,Chr9,"97,674,582","97,680,959",
Zm00001d032019,GRMZM2G175818,acpt1,acyl carrier protein1,Gene model association inferred from similarity with B73 RefGen_v3 gene models,,Chr1,"209,574,119","209,576,739",
Zm00001d039487,GRMZM2G163015,acs1,1-aminocyclopropane-1-carboxylate synthase1,Gene model association inferred from similarity with B73 RefGen_v3 gene models,"Yamauchi et al., 2016",Chr3,"5,625,096","5,627,096",
Zm00001d002592,GRMZM2G164405,acs2,1-aminocyclopropane-1-carboxylate synthase2,Gene model association inferred from similarity with B73 RefGen_v3 gene models,from: AY359585,Chr2,"16,311,191","16,314,804",
Zm00001d045479,GRMZM2G018006,acs3,1-aminocyclopropane-1-carboxylate synthase3,Gene model association inferred from similarity with B73 RefGen_v3 gene models,"Yamauchi et al., 2016",Chr9,"23,842,376","23,846,471",
Zm00001d033862,GRMZM2G054361,acs6,1-aminocyclopropane-1-carboxylate synthase6,Gene model association inferred from similarity with B73 RefGen_v3 gene models,,Chr1,"276,519,506","276,521,984",
Zm00001d026060,GRMZM5G894619,acs7,1-aminocyclopropane-1-carboxylate synthase7,Gene model association inferred from similarity with B73 RefGen_v3 gene models,,Chr10,"137,296,427","137,304,511",
Zm00001d010159,GRMZM2G126010,act1,actin1,Gene model association inferred from similarity with B73 RefGen_v3 gene models,Classical Gene,Chr8,"102,413,407","102,417,640",
Zm00001d012277,,act2,actin2,v4,,Chr8,"171,775,071","171,778,423",
Zm00001d032728,GRMZM2G167438,ad1,adherent1,"Liu et al., 2020","Liu et al., 2020",Chr1,"236,340,547","236,344,085",
Zm00001d010862,,add1,alternative discordia1,,,Chr8,"130,828,250","130,838,826",
Zm00001d021497,GRMZM2G117603,adf1,actin depolymerizing factor1,Gene model association inferred from similarity with B73 RefGen_v3 gene models,Classical Gene,Chr7,"154,119,353","154,120,546",
Zm00001d012966,GRMZM2G002825,adf10,actin depolymerizing factor10,,Huang et al. 2020,Chr5,"2,443,185","2,445,279",
Zm00001d029656,GRMZM2G064875,adf11,actin depolymerizing factor11,,Huang et al. 2020,Chr1,"81,672,414","81,676,391",
Zm00001d002714,GRMZM2G071327,adf12,actin depolymerizing factor12,,Huang et al. 2020,Chr2,"20,017,525","20,018,783",
Zm00001d017516,GRMZM2G015127,adf13,actin depolymerizing factor13,,Huang et al. 2020,Chr5,"198,490,145","198,492,974",
Zm00001d006372,GRMZM2G097122,adf2,actin depolymerizing factor2,Gene model association inferred from similarity with B73 RefGen_v3 gene models,,Chr2,"205,994,533","205,995,809",
Zm00001d034644,GRMZM2G060702,adf3,actin depolymerizing factor3,Gene model association inferred from similarity with B73 RefGen_v3 gene models,from: EU952653,Chr1,"298,705,539","298,708,107",
Zm00001d035629,GRMZM2G037140,adf4,Actin-depolymerizing factor 4,Gene model association inferred from similarity with B73 RefGen_v3 gene models,,Chr6,"37,509,032","37,510,146",
Zm00001d028392,GRMZM2G077942,adf5,actin depolymerizing factor5,Gene model association inferred from similarity with B73 RefGen_v3 gene models,,Chr1,"33,147,676","33,150,346",
Zm00001d013141,GRMZM2G130678,adf6,actin depolymerizing factor6,,,Chr5,"5,373,242","5,376,614",
Zm00001d051388,GRMZM2G463471,adf7,actin depolymerizing factor7,,,Chr4,"156,845,411","156,847,623",
Zm00001d047942,GRMZM2G147775,adf8,actin depolymerizing factor8,,Huang et al. 2020,Chr9,"145,900,630","145,902,898",
Zm00001d034326,GRMZM2G108807,adf9,actin depolymerizing factor9,,Huang et al. 2020,Chr1,"289,335,287","289,336,551",
Zm00001d033931,GRMZM2G442658,adh1,alcohol dehydrogenase1,Gene model association inferred from similarity with B73 RefGen_v3 gene models,Classical Gene,Chr1,"278,821,298","278,825,118",
Zm00001d049059,GRMZM2G098346,adh2,alcohol dehydrogenase2,Gene model association inferred from similarity with B73 RefGen_v3 gene models,Classical Gene,Chr4,"14,333,136","14,336,565",
Zm00001d035034,GRMZM2G178192,adk1,adenylate kinase1,Gene model association inferred from similarity with B73 RefGen_v3 gene models,,Chr6,"2,462,763","2,465,579",
Zm00001d027871,GRMZM2G119852,adss1,adenylosuccinate synthetase,Gene model association inferred from similarity with B73 RefGen_v3 gene models,,Chr1,"16,007,197","16,010,258",
Zm00001d003830,GRMZM2G437912,adt6,arogenate dehydratase6,Gene model association inferred from similarity with B73 RefGen_v3 gene models,"Olukolu, BA et al. 2016",Chr2,"61,203,599","61,204,879",
Zm00001d053301,,adxr1,adrenodoxin reductase1,v4; from: EU973445,,Chr4,"225,026,663","225,038,512",
Zm00001d016684,GRMZM2G032628,ae1,amylose extender1,Gene model association inferred from similarity with B73 RefGen_v3 gene models,,Chr5,"172,412,995","172,430,415",
Zm00001d039133,GRMZM2G059037,afd1,absence of first division1,Gene model association inferred from similarity with B73 RefGen_v3 gene models,from B73_v2 alignment to cDNA AY788900 | 60202504 (July 2011),Chr6,"170,759,206","170,773,388",
Zm00001d019163,GRMZM2G340656,aga1,alkaline galactosidase1,,,Chr7,"19,750,770","19,754,324",
Zm00001d037480,GRMZM2G127147,aga2,alkaline galactosidase2,,,Chr6,"126,663,869","126,667,210",
Zm00001d031300,GRMZM2G037265,aga3,alkaline galactosidase3,,,Chr1,"185,589,046","185,592,963",
Zm00001d034564,GRMZM2G077181,aga4,alkaline galactosidase4,,,Chr1,"296,458,782","296,462,896",
Zm00001d003277,GRMZM2G047292,aga5,alkaline galactosidase5,,,Chr2,"38,572,522","38,576,707",
Zm00001d003279,GRMZM2G311756,aga6,alkaline galactosidase5,,,Chr2,"38,586,400","38,587,859",
